what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors",1295140907715
stopped,bundle,com.aptana.ide.installer,2.0.5.1278523018,"com.aptana.ide.installer",1295140907715
stopped,bundle,com.aptana.ide.search,2.0.0.1278523018,"com.aptana.ide.search",1295140907738
stopped,bundle,com.aptana.ide.search.epl,2.0.0.1278523018,"com.aptana.ide.search.epl",1295140907775
stopped,bundle,com.aptana.ide.security.linux,2.0.0.1254335860,"com.aptana.ide.security.linux",1295140907823
stopped,bundle,com.aptana.ide.server.portal,2.0.0.1278523018,"com.aptana.ide.server.portal",1295140907823
stopped,bundle,com.aptana.ide.update.portal,2.0.0.1278614541,"com.aptana.ide.update.portal",1295140907823
stopped,bundle,com.aptana.ide.update.ui,2.0.0.1278614541,"com.aptana.ide.update.ui",1295140907823
stopped,bundle,com.aptana.ide.server.jetty,2.0.0.1278523018,"com.aptana.ide.server.jetty",1295140907823
stopped,bundle,com.aptana.ide.syncing.doms,2.0.5.1278614541,"com.aptana.ide.syncing.doms",1295140907832
stopped,bundle,com.aptana.ide.syncing.ui,2.0.5.1278614541,"com.aptana.ide.syncing.ui",1295140907832
stopped,bundle,com.aptana.ide.syncing.core,2.0.5.1278614541,"com.aptana.ide.syncing.core",1295140907832
stopped,bundle,com.aptana.ide.ui.secureftp,2.0.3.1278035782,"com.aptana.ide.ui.secureftp",1295140907842
stopped,bundle,com.aptana.ide.ui.ftp,2.0.3.1278614541,"com.aptana.ide.ui.ftp",1295140907857
stopped,bundle,com.aptana.ide.pathtools,2.0.1.1278614541,"com.aptana.ide.pathtools",1295140907857
stopped,bundle,com.aptana.ide.ui.io,2.0.5.1278614541,"com.aptana.ide.ui.io",1295140907874
stopped,bundle,org.eclipse.eclipsemonkey.doms,2.0.0.1277749615,"org.eclipse.eclipsemonkey.doms",1295140907874
stopped,bundle,org.eclipse.eclipsemonkey,2.0.5.1278445773,"org.eclipse.eclipsemonkey",1295140907874
stopped,bundle,com.aptana.ide.core.ui,2.0.5.1278523018,"com.aptana.ide.core.ui",1295140907874
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009241320,"org.eclipse.cdt.debug.ui.memory.search",1295140907893
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201009241320,"org.eclipse.cdt.debug.ui.memory.traditional",1295140907910
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201009241320,"org.eclipse.cdt.codan.checkers.ui",1295140907934
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,1.0.0.201009241320,"org.eclipse.cdt.codan.ui.cxx",1295140907934
stopped,bundle,org.eclipse.cdt.codan.ui,1.0.0.201009241320,"org.eclipse.cdt.codan.ui",1295140907958
stopped,bundle,org.eclipse.cdt.core.lrparser.xlc,1.0.0.201009241320,"org.eclipse.cdt.core.lrparser.xlc",1295140907976
stopped,bundle,org.eclipse.cdt.debug.edc.linux.x86,1.0.0.201009241320,"org.eclipse.cdt.debug.edc.linux.x86",1295140908018
stopped,bundle,org.eclipse.cdt.debug.edc.windows.ui,1.0.0.201009241320,"org.eclipse.cdt.debug.edc.windows.ui",1295140908029
stopped,bundle,org.eclipse.cdt.debug.edc.windows,1.0.0.201009241320,"org.eclipse.cdt.debug.edc.windows",1295140908045
stopped,bundle,org.eclipse.cdt.debug.edc.ui,1.0.0.201009241320,"org.eclipse.cdt.debug.edc.ui",1295140908046
stopped,bundle,org.eclipse.cdt.launch.remote,2.2.0.201009241320,"org.eclipse.cdt.launch.remote",1295140908046
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009241320,"org.eclipse.cdt.debug.mi.ui",1295140908099
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009241320,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1295140908127
stopped,bundle,org.eclipse.cdt.debug.gdbjtag.ui,7.0.0.201009241320,"org.eclipse.cdt.debug.gdbjtag.ui",1295140908128
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009241320,"org.eclipse.cdt.dsf.gdb.ui",1295140908155
stopped,bundle,org.eclipse.cdt.examples.dsf,2.1.0.201009241320,"org.eclipse.cdt.examples.dsf",1295140908155
stopped,bundle,org.eclipse.cdt.examples.dsf.pda.ui,2.1.0.201009241320,"org.eclipse.cdt.examples.dsf.pda.ui",1295140908156
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009241320,"org.eclipse.cdt.dsf.ui",1295140908205
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009241320,"org.eclipse.cdt.gdb.ui",1295140908214
stopped,bundle,org.eclipse.cdt.debug.edc.x86,1.0.0.201009241320,"org.eclipse.cdt.debug.edc.x86",1295140908261
stopped,bundle,org.eclipse.cdt.debug.edc,1.0.0.201009241320,"org.eclipse.cdt.debug.edc",1295140908343
stopped,bundle,org.eclipse.cdt.debug.gdbjtag.core,7.0.0.201009241320,"org.eclipse.cdt.debug.gdbjtag.core",1295140908346
